case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
baseline,400,1,-9.5115056843644332e-08,3.5961867634083367e-09,0.005487755234406054,0.14915,0.14428029812564713,0.15415445357492147
baseline,400,2,-2.1093660933759402e-07,3.5444756542704014e-09,0.002735640230313475,0.14960000000000001,0.14472407952552821,0.15461049934258989
baseline,400,4,-4.1078106454634517e-07,3.7146239021555877e-09,0.0013738188634424596,0.14530000000000001,0.14048414179326138,0.15025208858493924
baseline,600,0.050000000000000003,1.2279392530109508e-08,5.6791218161716092e-09,0.11000144722786895,0.12515000000000001,0.12063605785498112,0.12980791157628052
baseline,600,0.10000000000000001,3.2809771241212284e-09,5.4053582582672834e-09,0.054835212957059662,0.13825000000000001,0.13353580793888431,0.14310313014770737
baseline,600,0.25,-1.8373612666090978e-08,5.4080329437206611e-09,0.021975242432391583,0.14455000000000001,0.1397447661188935,0.14949175231339126
baseline,600,0.5,-6.0748029258086156e-08,5.5668932409547165e-09,0.010962128233997614,0.14760000000000001,0.1427518368373184,0.15258351017502414
baseline,600,1,-1.3430395880499811e-07,5.3524309268999009e-09,0.0054803550281702458,0.14294999999999999,0.13816758142894497,0.14786955151871928
baseline,600,2,-3.0074634537363102e-07,5.2928469334299542e-09,0.0027366863683419432,0.14940000000000001,0.14452684143657227,0.15440781424596825
baseline,600,4,-6.5159422857836454e-07,5.2391228633050894e-09,0.0013655055344651691,0.15565000000000001,0.1506919518282088,0.16074030340363046
baseline,800,0.050000000000000003,1.5126955448180742e-08,7.3412491770835362e-09,0.10918151379600502,0.1303,0.12570549114197785,0.1350365003179059
baseline,800,0.10000000000000001,4.7639662886234596e-09,7.1050028066082903e-09,0.054984580895576091,0.1394,0.1346689453198002,0.14426955108386244
baseline,800,0.25,-2.9849694892139134e-08,7.2313773387561214e-09,0.02181556534740825,0.14915,0.14428029812564713,0.15415445357492147
baseline,800,0.5,-9.1167129928518407e-08,7.2097220796119588e-09,0.010949608907199749,0.15115000000000001,0.14625277783141652,0.15618120572492764
baseline,800,1,-1.9558133431609764e-07,7.3227370738145978e-09,0.0054753025549297129,0.14704999999999999,0.1422095242921913,0.1520260339598129
baseline,800,2,-4.344744905578157e-07,6.9942612066530999e-09,0.0027353838805038995,0.15459999999999999,0.14965601096638836,0.15967664754116867
baseline,800,4,-8.1149069794491428e-07,7.4013598728793965e-09,0.0013726032847798258,0.14635000000000001,0.14151934244528844,0.15131648465719436
baseline,1000,0.050000000000000003,1.9946275824768531e-08,9.3834840984781622e-09,0.10986409583941299,0.1244,0.1198979992261708,0.12904625825917498
baseline,1000,0.10000000000000001,7.4605257481688272e-09,9.7090241090983255e-09,0.054758734677249857,0.13780000000000001,0.13309243660506867,0.14264667431397351
baseline,1000,0.25,-3.3319021095662265e-08,9.0420691751871076e-09,0.021949373785420726,0.14324999999999999,0.13846328789896528,0.14817372982706534
baseline,1000,0.5,-1.0299481018020776e-07,9.0126998179822543e-09,0.010954384836157859,0.14715,0.14230812482234798,0.15212739502244502
baseline,1000,1,-2.3964772608045941e-07,9.2484882575736943e-09,0.0054885810201097396,0.14735000000000001,0.14250532821866671,0.15233011481170386
baseline,1000,2,-4.8749218160490848e-07,9.0767768001804618e-09,0.0027384685033494949,0.1464,0.1415686398770479,0.15136716802182928
baseline,1000,4,-1.0710894378223008e-06,8.7986870815491833e-09,0.0013686289625808078,0.15145,0.14654867590341231,0.15648519243129821
highPR,50,0.050000000000000003,-1.0700614342711856e-09,-2.147269555528587e-11,-0.0085579813475873817,0.50785000000000002,0.50092049262111704,0.51477649241280221
highPR,50,0.10000000000000001,-3.706148311454946e-09,-3.3067727599984945e-10,-0.069157850331489454,0.55545,0.5485532297841097,0.56232547341726835
highPR,50,0.25,-1.2255940627665011e-08,-1.280599114396842e-09,-0.10747099935220175,0.58625000000000005,0.57940842992026365,0.59305844386005846
highPR,50,0.5,-2.4909142496347414e-08,-2.6284868423711193e-09,-0.11433694977721055,0.58689999999999998,0.58005988835779121,0.5937067357756578
highPR,50,1,-5.2922164103562611e-08,-5.9019102675766765e-09,-0.12010675496274845,0.59499999999999997,0.58817909375468691,0.6017844193946531
highPR,50,2,-1.0703875766199324e-07,-1.260834991165502e-08,-0.1274593491867041,0.60385,0.59705227445589537,0.61060783965525178
highPR,50,4,-2.1267248542198636e-07,-2.2832848540156723e-08,-0.11942636476322913,0.59460000000000002,0.58777810039462108,0.601385566383564
highPR,100,0.050000000000000003,-2.0676519976595977e-09,-4.2333504775963816e-11,-0.0097721931145670106,0.50649999999999995,0.49957048343502952,0.51342702009624108
highPR,100,0.10000000000000001,-7.3741873637466562e-09,-6.3785351230681229e-10,-0.062418126553332828,0.55205000000000004,0.54514878914626375,0.55893121990029593
highPR,100,0.25,-2.3109509874949752e-08,-2.4086457935466998e-09,-0.1023382055623617,0.58365,0.57680271858701004,0.59046515378080355
highPR,100,0.5,-5.1289137232006531e-08,-5.4906802366490749e-09,-0.11575903373065524,0.59014999999999995,0.58331736459811745,0.59694801130096675
highPR,100,1,-1.0503075053929717e-07,-1.0861705825160605e-08,-0.11580348796261855,0.59009999999999996,0.58326724725242352,0.59689814785026629
highPR,100,2,-2.1394525473601961e-07,-2.290526972947947e-08,-0.12080356553355695,0.59455000000000002,0.58772797655391351,0.60133570942787717
highPR,100,4,-4.3862096882922203e-07,-4.7774211900543459e-08,-0.12621866889222516,0.6028,0.59599940347965619,0.60956111390720868
highPR,200,0.050000000000000003,-4.4119550316786838e-09,-1.3002502624116546e-10,-0.012688540678526799,0.51090000000000002,0.50397069938958083,0.51782511422439603
highPR,200,0.10000000000000001,-1.5181751971441103e-08,-1.3166292767722746e-09,-0.067260758776304969,0.55495000000000005,0.54805255630061067,0.56182633893682343
highPR,200,0.25,-4.8979208938991223e-08,-5.2503651226842996e-09,-0.10533902346562532,0.58230000000000004,0.57544983021611551,0.58911856064904966
highPR,200,0.5,-1.0181133477366496e-07,-1.0344554540588004e-08,-0.10918104001725491,0.5857,0.57885720542620867,0.5925098795937751
highPR,200,1,-2.0767317094734033e-07,-2.2851128805322132e-08,-0.12020587888203593,0.59504999999999997,0.5882292182540606,0.6018342756916738
highPR,200,2,-4.2072918308083768e-07,-4.7240997564982029e-08,-0.1181574204598819,0.59370000000000001,0.58687588245240696,0.60048812999067902
highPR,200,4,-8.4234295852207886e-07,-9.734949682456694e-08,-0.12581383314473343,0.59870000000000001,0.59188850472366161,0.60547358735886336
highPR,400,0.050000000000000003,-8.5158956870757229e-09,-1.6511713305887025e-10,-0.0074841097465108333,0.50609999999999999,0.49917049041447042,0.51302716674564497
highPR,400,0.10000000000000001,-2.9370511925998016e-08,-2.652145164109596e-09,-0.071455833777522099,0.55674999999999997,0.54985501387530999,0.56362319003232209
highPR,400,0.25,-9.7299939203930337e-08,-9.1779697625306338e-09,-0.097355948338613038,0.57950000000000002,0.5726440072057033,0.58632545906137601
highPR,400,0.5,-2.0176994509666247e-07,-2.171745963788507e-08,-0.11223733141228592,0.59194999999999998,0.58512163755650737,0.59874304701277503
highPR,400,1,-4.1693773588375745e-07,-4.4643358092627413e-08,-0.11509551723374932,0.59219999999999995,0.5853722384952641,0.59899235005599005
highPR,400,2,-8.5774697170809094e-07,-9.5938318136617584e-08,-0.12264171027620027,0.59919999999999995,0.59238980731875335,0.60597209272771535
highPR,400,4,-1.7266697018619825e-06,-1.9168439415268368e-07,-0.12339535473901686,0.59930000000000005,0.59249006872053289,0.60607179291872482
highPR,600,0.050000000000000003,-1.2953561844609213e-08,-2.4793278754990034e-10,-0.0090821430276689895,0.50795000000000001,0.50102049531121717,0.51487645131549087
highPR,600,0.10000000000000001,-4.4023947241619812e-08,-3.4297149218099354e-09,-0.062664785169317949,0.54844999999999999,0.5415444421835075,0.555336949522656
highPR,600,0.25,-1.404860274356143e-07,-1.4483907331552021e-08,-0.0990648600088255,0.58130000000000004,0.57444772461475913,0.58812105032251838
highPR,600,0.5,-2.9914530466133822e-07,-3.05102654144142e-08,-0.10334227593630252,0.58360000000000001,0.57675261067101358,0.59041528090040585
highPR,600,1,-6.0207693838107569e-07,-6.6671321523853762e-08,-0.11193559586157902,0.59114999999999995,0.58431972680441913,0.59794526502255296
highPR,600,2,-1.2834312635395899e-06,-1.4033776292142346e-07,-0.12093837930996823,0.59319999999999995,0.58637466049659548,0.59998954398254656
highPR,600,4,-2.5448054515449473e-06,-2.895907684119744e-07,-0.12898521972650087,0.59955000000000003,0.59274072351279361,0.60632104210843607
highPR,800,0.050000000000000003,-1.6488600561894861e-08,-3.3150288171722194e-10,-0.0082685638767171325,0.50685000000000002,0.49992048096588615,0.51377688814014522
highPR,800,0.10000000000000001,-6.0343901107775942e-08,-4.8193105102073828e-09,-0.063371078759514171,0.55069999999999997,0.54379711630084793,0.5575834112430631
