case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
baseline_corr_plausible,800,0.10000000000000001,4.9739037312906456e-09,6.9861669804415501e-09,0.055006244258527001,0.1396,0.13486602397261183,0.14447239561662834
baseline_corr_plausible,800,0.25,-2.8773740610350915e-08,7.207352837810346e-09,0.021811171201121679,0.14935000000000001,0.14447753239187744,0.15435714249426874
baseline_corr_plausible,800,0.5,-8.3747455736508844e-08,7.118222665694558e-09,0.010951132039833351,0.15115000000000001,0.14625277783141652,0.15618120572492764
baseline_corr_plausible,800,1,-2.0137332752477318e-07,7.190234602358271e-09,0.0054758131749155546,0.14715,0.14230812482234798,0.15212739502244502
baseline_corr_plausible,800,2,-4.5112609251977806e-07,6.9283721938687888e-09,0.0027349474318002164,0.15459999999999999,0.14965601096638836,0.15967664754116867
baseline_corr_plausible,800,4,-8.2334924113103041e-07,7.1966168404058854e-09,0.0013726075221311977,0.14635000000000001,0.14151934244528844,0.15131648465719436
baseline_corr_plausible,1000,0.050000000000000003,2.079513268652124e-08,9.4432588592117889e-09,0.10986119411249923,0.12479999999999999,0.1202916237793816,0.12945248007711929
baseline_corr_plausible,1000,0.10000000000000001,8.4991680554305585e-09,9.3194476964919909e-09,0.054761146667095542,0.13764999999999999,0.13294464996183444,0.14249451856802456
baseline_corr_plausible,1000,0.25,-3.2087246118970278e-08,9.0296333264628439e-09,0.021951637603840335,0.14319999999999999,0.13841400298342674,0.14812303394620949
baseline_corr_plausible,1000,0.5,-1.1071595539464056e-07,8.9719090288509976e-09,0.010955329401540388,0.14710000000000001,0.14225882445986771,0.15207671458853095
baseline_corr_plausible,1000,1,-2.4290383607853772e-07,8.8869226888365481e-09,0.0054874401027629081,0.14729999999999999,0.14245602707779134,0.15227943515618478
baseline_corr_plausible,1000,2,-5.0586224284118009e-07,8.9386365426359888e-09,0.002739015342679404,0.1464,0.1415686398770479,0.15136716802182928
baseline_corr_plausible,1000,4,-1.1055329001411857e-06,8.6755527175079054e-09,0.0013682252909154235,0.15145,0.14654867590341231,0.15648519243129821
